Strain,Stress
0.0,0.0
0.0004285714285714286,9.87032943624513
0.0008571428571428572,17.25930565630892
0.0012857142857142859,21.510584778868257
0.0017142857142857144,23.274957716251162
0.002142857142857143,23.48418241579096
0.0025714285714285717,22.856562177958647
0.003,21.836732761854936
0.003428571428571429,20.67202755069016
0.0038571428571428576,19.49110980739931
0.004285714285714286,16.376503427418132
0.004714285714285714,12.2823775705636
0.0051428571428571435,8.188251713709063
0.005571428571428572,4.094125856854531
0.006,0.0
